set,state1,state2,state3,sliderSub1,sliderSub2,sliderSub3,sliderSub4,Type
set3,Nicolas conduit sa voiture très vite.,Nicolas ne s'est pas arrêté au feu rouge,Nicolas a blessé une petite fille avec sa voiture.,Nicolas est en retard pour son travail.,La femme de Nicolas va accoucher.,Nicolas déteste aller prendre une marche,Nicolas a commis un délit de fuite.,non-filler
set16,Jean est un homme d'affaires prospère.,Les clients de Jean sont surtout de jeunes hommes.,Jean ne se fait jamais prendre par la police.,Jean est un gérant de banque.,Jean est propriétaire d'un centre de réhabilitation.,Jean est un proxénète.,Jean est un vendeur de drogue.,Filler
set5,Jenny ne peut pas s'endormir.,Jenny est impatiente que le matin arrive enfin.,Jenny se demande combien il y aura de cadeaux sous le sapin.,Jenny est nerveuse à propos de ses examens le lendemain,Jenny est inquiète pour sa mère qui est malade.,Jenny aime son lit.,Jenny est excitée à l'idée du matin de Noël.,non-filler
set1,Natasha ne sait pas qu'elle parle à sa mère.,Natasha est confuse et désorientée.,Natasha n'a pas mis son casque lorsqu'elle a fait du vélo.,Natasha est à une fête costumée pour l'Halloween.,Natasha vient tout juste d'apprendre qu'elle a été adoptée.,Natasha est très gênée.,Natasha a perdu la mémoire après avoir été frappée par une voiture.,non-filler
set13,Stéphane est à genoux.,Stéphane pleure.,La femme de Stéphane a fait ses bagages.,Stéphane prie.,Stéphane s'apprête à demander sa fiancée en mariage.,Stéphane souhaiterait être un nain magique.,Stéphane n'arrive pas à trouver sa sacoche.,Filler
set4,Tom et Michel crient.,Tom et Michel ont la nausée.,Tom et Michel ont trop mange de barbe à papa aujourd'hui.,Tom et Michel sont à une partie de basketball.,Tom et Michel ont trouvé un corps mort dans la ruelle.,Tom et Michel apprécient être le centre d'intérêt.,Tom et Michel ont du plaisir dans les montagnes russes.,non-filler
set9,Étienne est surpris.,La valise d'Étienne est faite.,Étienne est très malade et ne peut plus vivre à la maison.,L'épouse d'Étienne l'emmène en vacances.,Étienne s'est fait expulser parce qu'il faisait trop de party,Étienne dort à poings fermés,Étienne a besoin qu'on le soigne,non-filler
set7,Richard porte parfois du maquillage.,Richard passe la majorité de son temps au théâtre.,Richard est allé à l'école de théâtre.,Richard est un travesti.,Richard est préoccupé par ses cicatrices.,Richard souhaiterait avoir une femme.,Richard est un comédien.,non-filler
set11,Fred a obtenu une note très forte à son examen.,Il n’est habituellement pas très doué à l’école.,Le professeur l’a pris à copier sur un autre étudiant.,Fred est un étudiant qui travaille fort.,Fred est vraiment intelligent.,Fred est une grenouille.,Fred est très malhonnête.,non-filler
set2,Andrea s'est fait de nouveaux amis.,Les nouveaux amis d'Andrea contrôlent tous les aspects de sa vie.,Andrea a soudainement coupé tout contact avec sa famille.,Andrea vient tout juste de commencer à aller à l'université.,Andrea est une personne gentille et attentionnée.,Andrea aime être photographiée.,Andrea a joint une secte.,non-filler
set8,Stella répond au téléphone à son travail.,Stella est une femme puissante.,Stella est allée à l'école de Droit.,Stella est une secrétaire.,Stella est une opératrice du 911.,Stella est une gardienne.,Stella est avocate.,non-filler
set15,Alice est impatiente de prendre l’autobus.,Alice n’a pas eu le temps de faire ses bagages.,Alice a vraiment peur de son cruel beau père.,Alice va en vacances.,Alice s’en va à un collège loin de chez elle.,Alice aime envoyer la main aux gens.,Alice se sauve de chez elle.,Filler
set12,Amy incite les enfants à faire de l'exercice.,Amy est très protectrice envers les enfants.,"À la maison, Amy jappe bruyamment lorsqu'on sonne à la porte.",Amy est professeure d'éducation physique.,Amy est une mère très active.,Amy is not a very caring person.,Amy est un chien.,non-filler
set14,Joanne n’entre plus dans ses vêtements d’été.,La famille de Joanne veut l’aider.,Joanne a vraiment hâte de voir son nouveau bébé.,Joanne va aller s’acheter une nouvelle garde-robe.,Joanne désire perdre du poids.,La température hivernale fait rapetisser Joanne.,Joanne est enceinte.,Filler
set6,L'homme est un orateur public d'expérience.,Les mêmes personnes viennent écouter l'homme chaque semaine.,L'homme porte de longues robes.,L'homme est un politicien.,L'homme est un activiste pour les droits des gais.,L'homme est timide.,L'homme est un prêtre,non-filler
set10,Daniel est très chanceux.,Daniel a toujours souhaité que ça arrive.,Daniel va toujours se souvenir du jour où il l’a demandée en mariage.,Daniel a eu des billets pour voir son groupe favori.,Daniel vient de gagner à la loterie.,Daniel a glissé sur une peau de banane.,Daniel s’est marié.,non-filler
